order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
2,1,43,1,113,1,113,stimuli/animals/moth.jpg,Invertebrates,1,146,stimuli/animals/anteater.jpg,Mammals,1,1
2,1,44,1,34,1,92,stimuli/animals/bullfrog.jpg,ReptilesAmph,1,34,stimuli/animals/owl.jpg,Birds,1,2
2,1,45,2,310,2,346,stimuli/tools/bevelgauge.jpg,Devices,2,310,stimuli/tools/compass.jpg,Toolbox,2,2
2,1,46,1,95,1,95,stimuli/animals/prairiedog.jpg,Mammals,1,64,stimuli/animals/marmot.jpg,Mammals,1,1
2,1,47,2,238,2,224,stimuli/tools/bucket.jpg,Household,2,238,stimuli/tools/edger.jpg,Powertools,2,2
2,1,48,1,1,1,24,stimuli/animals/mouse.jpg,Mammals,1,1,stimuli/animals/cat.jpg,Mammals,1,2
2,1,49,1,153,1,175,stimuli/animals/herculesbeetle.jpg,Invertebrates,1,153,stimuli/animals/hyena.jpg,Mammals,1,2
2,1,50,1,7,1,156,stimuli/animals/mealworm.jpg,Invertebrates,1,7,stimuli/animals/sheep.jpg,Mammals,1,2
2,1,51,2,251,2,251,stimuli/tools/measuringdevice.jpg,Toolbox,2,285,stimuli/tools/pick.jpg,Toolbox,2,1
2,1,52,1,6,1,6,stimuli/animals/pigeon.jpg,Birds,1,96,stimuli/animals/toucan.jpg,Birds,1,1
2,1,53,2,235,2,231,stimuli/tools/squeegee.jpg,Toolbox,2,235,stimuli/tools/bottleopener.jpg,Household,2,2
2,1,54,1,55,1,55,stimuli/animals/crow.jpg,Birds,1,62,stimuli/animals/goat.jpg,Mammals,1,1
2,1,55,1,103,1,103,stimuli/animals/prayingmantis.jpg,Invertebrates,1,37,stimuli/animals/baboon.jpg,Mammals,1,1
2,1,56,2,360,2,344,stimuli/tools/lantern.jpg,Household,2,360,stimuli/tools/engine.jpg,Devices,2,2
2,1,57,2,323,2,323,stimuli/tools/weldershammer.jpg,Toolbox,2,340,stimuli/tools/woodchipper.jpg,Powertools,2,1
2,1,58,1,57,1,47,stimuli/animals/bluejay.jpg,Birds,1,57,stimuli/animals/kangaroo.jpg,Mammals,1,2
2,1,59,1,8,1,49,stimuli/animals/llama.jpg,Mammals,1,8,stimuli/animals/lion.jpg,Mammals,1,2
2,1,60,1,160,1,116,stimuli/animals/caiman.jpg,ReptilesAmph,1,160,stimuli/animals/aardvark.jpg,Mammals,1,2
