order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
2,1,129,2,236,stimuli/tools/chisel.jpg,Toolbox,2,3
2,1,130,2,332,stimuli/tools/reflexhammer.jpg,Household,1,1
2,1,131,2,184,stimuli/tools/fishtailchisel.jpg,Toolbox,1,2
2,1,132,2,279,stimuli/tools/headphones.jpg,Devices,2,3
2,1,133,2,214,stimuli/tools/toolbox.jpg,Toolbox,2,3
2,1,134,1,61,stimuli/animals/chipmunk.jpg,Mammals,1,1
2,1,135,2,240,stimuli/tools/rollingpin.jpg,Household,2,3
2,1,136,1,174,stimuli/animals/malaysianjunglenymph.jpg,Invertebrates,2,3
2,1,137,2,334,stimuli/tools/tubeflaring.jpg,Toolbox,2,3
2,1,138,2,324,stimuli/tools/lighterbic.jpg,Household,1,1
2,1,139,2,342,stimuli/tools/crank.jpg,Toolbox,2,3
2,1,140,1,164,stimuli/animals/shieldbug.jpg,Invertebrates,2,3
2,1,141,2,291,stimuli/tools/battery.jpg,Household,2,3
2,1,142,2,282,stimuli/tools/keys.jpg,Household,2,3
2,1,143,1,127,stimuli/animals/slug.jpg,Invertebrates,1,1
2,1,144,1,50,stimuli/animals/lobster.jpg,SeaDwellers,2,3
2,1,145,2,244,stimuli/tools/mallet.jpg,Toolbox,1,2
2,1,146,1,158,stimuli/animals/pachnoda.jpg,Invertebrates,2,3
2,1,147,2,262,stimuli/tools/fishingpole.jpg,Household,1,2
2,1,148,1,120,stimuli/animals/sugarglider.jpg,Mammals,1,1
2,1,149,2,355,stimuli/tools/telephone.jpg,Devices,1,1
2,1,150,2,192,stimuli/tools/shovel.jpg,Household,2,3
2,1,151,1,99,stimuli/animals/waterdragon.jpg,ReptilesAmph,2,3
2,1,152,1,81,stimuli/animals/ostrich.jpg,Birds,1,1
2,1,153,2,235,stimuli/tools/bottleopener.jpg,Household,1,1
2,1,154,2,183,stimuli/tools/wrench.jpg,Toolbox,2,3
2,1,155,1,117,stimuli/animals/cricket.jpg,Invertebrates,1,2
2,1,156,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,1,1
2,1,157,1,124,stimuli/animals/koi.jpg,SeaDwellers,2,3
2,1,158,2,289,stimuli/tools/sprinkler.jpg,Household,2,3
2,1,159,1,107,stimuli/animals/bass.jpg,SeaDwellers,2,3
2,1,160,2,341,stimuli/tools/caliper.jpg,Toolbox,1,1
2,1,161,1,177,stimuli/animals/rosechafer.jpg,Invertebrates,2,3
2,1,162,2,312,stimuli/tools/pressuregauge.jpg,Toolbox,2,3
2,1,163,1,25,stimuli/animals/orangutan.jpg,Mammals,2,3
2,1,164,1,166,stimuli/animals/ibises.jpg,Birds,2,3
2,1,165,2,259,stimuli/tools/smartphone.jpg,Devices,2,3
2,1,166,2,264,stimuli/tools/mop.jpg,Household,1,2
2,1,167,2,296,stimuli/tools/handdrill.jpg,Toolbox,1,1
2,1,168,1,105,stimuli/animals/lizard.jpg,ReptilesAmph,2,3
2,1,169,2,241,stimuli/tools/staplegun.jpg,Toolbox,2,3
2,1,170,1,68,stimuli/animals/camel.jpg,Mammals,2,3
2,1,171,1,155,stimuli/animals/balloonfish.jpg,SeaDwellers,1,2
2,1,172,1,84,stimuli/animals/goldfish.jpg,SeaDwellers,1,1
